Data Series,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May ,2025 Apr ,2025 Mar ,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan ,2011 Dec ,2011 Nov ,2011 Oct ,2011 Sep ,2011 Aug ,2011 Jul ,2011 Jun ,2011 May ,2011 Apr ,2011 Mar ,2011 Feb ,2011 Jan ,2010 Dec ,2010 Nov ,2010 Oct ,2010 Sep ,2010 Aug ,2010 Jul ,2010 Jun ,2010 May ,2010 Apr ,2010 Mar ,2010 Feb ,2010 Jan ,2009 Dec ,2009 Nov ,2009 Oct ,2009 Sep ,2009 Aug ,2009 Jul ,2009 Jun ,2009 May ,2009 Apr ,2009 Mar ,2009 Feb ,2009 Jan ,2008 Dec ,2008 Nov ,2008 Oct ,2008 Sep ,2008 Aug ,2008 Jul ,2008 Jun ,2008 May ,2008 Apr ,2008 Mar ,2008 Feb ,2008 Jan ,2007 Dec ,2007 Nov ,2007 Oct ,2007 Sep ,2007 Aug ,2007 Jul ,2007 Jun ,2007 May ,2007 Apr ,2007 Mar ,2007 Feb ,2007 Jan ,2006 Dec ,2006 Nov ,2006 Oct ,2006 Sep ,2006 Aug ,2006 Jul ,2006 Jun ,2006 May ,2006 Apr ,2006 Mar ,2006 Feb ,2006 Jan ,2005 Dec ,2005 Nov ,2005 Oct ,2005 Sep ,2005 Aug ,2005 Jul ,2005 Jun ,2005 May ,2005 Apr ,2005 Mar ,2005 Feb ,2005 Jan ,2004 Dec ,2004 Nov ,2004 Oct ,2004 Sep ,2004 Aug ,2004 Jul ,2004 Jun ,2004 May ,2004 Apr ,2004 Mar ,2004 Feb ,2004 Jan ,2003 Dec ,2003 Nov ,2003 Oct ,2003 Sep ,2003 Aug ,2003 Jul 
      Parts & Accessories For Personal Transport Equipment,101.658,101.377,101.949,102.73,102.685,102.458,102.451,102.252,102.569,102.484,102.288,101.788,101.297,100.584,100.24,100.341,100.102,100.315,100.421,99.838,100.253,99.848,99.876,100.343,99.103,99.323,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Petrol,97.312,98.23,98.086,98.271,96.781,97.577,97.186,99.472,99.438,97.823,98.841,97.704,101.506,100.296,99.259,100.354,100.637,99.023,98.183,101.322,99.779,101.528,102.52,99.673,100.036,97.687,97.324,99.017,100.554,101.938,99.383,96.115,95.379,94.769,96.193,95.28,95.494,94.32,93.841,96.836,96.379,98.044,99.415,106.517,115.505,109.501,104.312,104.446,95.709,91.823,90.017,91.025,89.546,87.689,87.562,87.452,85.073,84.17,82.965,82.839,78.004,73.453,71.599,70.247,70.075,69.934,69.727,69.742,69.35,69.507,72.131,74.884,78.845,80.433,80.466,79.377,78.762,78.225,77.485,77.534,77.848,79.491,78.612,76.705,75.26,75.075,75.78,78.634,81.472,80.036,78.691,78.375,78.261,77.985,76.695,75.833,76.12,76.162,75.126,75.749,74.205,73.408,72.437,71.594,71.77,72.21,72.378,72.31,72.883,71.623,71.11,69.737,69.327,67.382,65.86,66.763,67.351,65.777,64.585,64.87,63.736,66.193,68.246,69.878,70.891,70.714,71.852,73.324,74.593,73.29,70.242,69.534,62.713,60.039,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Fuel & Lubricants For Personal Transport Equipment,99.938,100.099,100.4,100.229,98.784,99.313,98.922,99.606,98.949,98.624,99.776,99.796,101.506,100.385,98.814,99.197,99.48,99.112,99.251,101.1,99.824,101.261,101.497,100.608,100.926,98.978,99.244,101.476,103.217,102.196,97.514,91.696,90.978,90.942,95.072,97.539,99.821,100.794,100.563,105.341,104.886,105.648,106.596,111.477,115.687,111.083,104.824,102.651,89.16,84.79,82.55,83.819,82.131,79.893,79.675,79.669,77.232,76.235,74.928,75.543,73.387,70.665,69.212,67.938,67.997,68.157,67.938,67.756,66.922,65.357,67.927,71.181,75.451,76.409,76,74.753,74.272,74.01,73.192,73.482,73.728,75.325,74.571,72.652,69.823,68.841,70.691,72.349,73.73,72.369,71.443,70.533,70.424,70.163,69.289,68.734,69.006,68.871,67.802,67.869,66.842,66.087,64.904,64.542,64.796,65.737,65.721,65.483,63.756,62.213,61.203,60.338,60.036,58.979,58.234,58.741,58.862,57.894,57.2,57.208,56.221,57.502,59.361,60.646,60.821,60.478,60.947,62.167,63.893,63.793,62.3,62.415,62.146,61.531,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Maintenance & Repair Of Personal Transport Equipment,106.879,106.002,105.88,105.88,105.727,105.691,105.691,105.691,104.14,104.059,104.048,103.703,103.532,104.027,103.532,103.469,103.469,103.469,103.469,103.469,97.517,96.3,96.27,96.27,96.468,96.301,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Services In Respect Of Personal Transport Equipment,101.219,101.273,100.394,101.076,100.986,101.205,100.856,100.721,100.31,100.295,100.504,100.649,100.873,100.14,99.933,100.311,100.278,100.509,100.087,100.289,99.475,99.551,99.971,99.87,99.949,99.777,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Insurance Connected With Transport,103.739,104.124,104.389,108.421,103.957,103.102,103.102,103.102,105.854,103.289,103.289,104.354,103.212,103.212,103.212,103.212,103.212,99.744,99.744,99.744,98.962,98.962,98.962,98.081,98.081,98.081,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Land Transport Services,108.848,108.166,107.015,105.994,105.43,105.852,104.754,103.68,104.49,104.909,104.384,105.392,105.271,103.822,101.323,100.295,101.6,100.482,99.261,98.946,99.397,99.205,99.452,101.149,99.886,99.007,95.406,92.98,93.628,93.447,93.037,92.87,93.053,92.866,93.091,94.014,94.746,94.503,93.114,92.256,92.386,92.014,91.275,91.07,91.786,90.999,89.169,88.683,87.296,87.537,85.586,84.466,84.947,84.784,84.674,84.179,83.707,84.957,84.599,84.964,84.223,84.159,83.521,83.306,83.175,83.155,82.942,82.413,82.197,82.427,82.753,83.17,84.34,84.224,81.533,80.652,80.461,80.43,80.242,80.366,80.243,80.547,80.58,81.17,80.805,80.83,78.896,78.691,78.668,78.668,78.681,78.668,78.725,78.668,78.663,78.668,78.822,78.658,79.523,79.52,79.527,79.52,79.529,79.516,79.557,79.521,79.558,79.505,79.531,79.619,81.265,81.285,81.294,81.331,81.322,81.293,81.29,81.305,81.256,81.31,81.419,81.297,81.817,81.898,81.883,81.901,80.588,81.907,81.882,81.81,81.622,80.407,80.497,80.414,80.135,80.131,80.126,80.108,80.108,80.108,80.108,80.108,79.898,78.707,78.707,78.736,78.322,78.284,78.284,78.118,78.118,78.118,78.098,78.098,78.098,78.098,78.138,78.098,77.883,77.883,77.883,77.887,77.887,77.887,77.887,77.887,77.887,77.866,77.866,77.756,75.234,74.653,74.557,74.24,74.24,74.24,74.182,74.191,74.178,74.05,73.926,73.928,73.689,73.68,73.679,73.68,73.68,73.68,73.491,73.491,73.491,73.497,73.497,73.485,73.331,73.343,73.331,73.331,73.331,73.331,73.331,73.331,73.339,75.25,75.252,75.254,75.073,75.073,75.073,74.719,74.716,74.716,74.659,74.659,74.659,74.644,74.644,74.644,74.513,70.779,70.779,70.399,70.399,70.399,70.389,70.376,70.376,70.373,70.373,70.373,70.248,70.248,70.234,69.633,69.633,68.617,66.683,66.683,66.683,66.675,66.641,66.641,66.497,66.497,66.504,66.49,66.49,66.49,65.603,65.603,65.603,65.595,65.47,65.47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bus & Train Fares,111.286,111.286,106.745,105.937,105.937,105.937,105.937,105.937,105.937,105.937,105.937,105.937,105.937,105.937,100.706,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,95.319,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,91.281,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,89.204,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,83.78,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,79.855,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,81.16,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,84.66,84.85,84.85,84.85,84.85,84.85,84.85,84.85,84.85,84.85,84.85,84.85,86.156,86.463,86.463,86.463,84.079,86.463,86.463,86.463,86.119,84.079,84.079,84.079,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Point-To-Point Transport Services,105.633,105.194,107.71,106.528,105.056,106.386,103.724,101.276,103.21,104.179,102.861,105.292,104.505,101.278,102.341,100.826,103.973,101.242,98.224,97.641,98.666,98.251,98.804,102.864,99.345,97.828,95.269,91.847,93.601,93.203,92.256,91.847,92.046,91.756,92.017,94.455,96.082,94.82,95.235,94.078,94.341,93.627,91.641,91.192,92.733,90.899,87.309,86.155,82.932,83.541,80.919,78.707,79.89,79.519,79.276,78.131,77.005,79.962,79.152,80.007,78.265,78.137,76.602,76.111,75.818,75.752,75.262,74.039,73.514,74.06,74.851,75.704,78.164,77.083,77.352,76.338,75.96,75.916,75.349,75.765,75.442,76.105,76.248,77.743,76.517,76.989,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.149,76.149,76.149,76.149,76.149,76.146,76.062,76.062,75.79,75.79,75.79,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Commuting Fares,101.985,101.985,104.111,104.111,104.111,104.111,104.111,104.111,104.111,104.111,104.111,104.111,104.111,104.111,100,100,100,100,100,100,100,100,100,100,100,100,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,90.658,90.658,90.658,90.121,90.121,90.121,90.121,90.121,90.121,90.121,90.121,90.121,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.452,89.452,89.452,89.452,89.452,89.452,89.452,89.452,89.452,90.299,90.299,90.299,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.118,86.032,86.032,86.032,86.032,86.032,86.032,86.032,86.032,86.032,86.032,86.032,86.032,82.903,82.903,82.903,82.903,82.903,82.903,82.903,82.903,82.903,82.903,82.903,82.409,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Land Transport Services,122.097,100.201,105.564,100.813,102.693,97.195,97.169,94.335,94.882,95.735,96.546,96.795,105.694,100.486,99.38,99.492,99.812,100.172,101.184,97.93,99.151,98.238,99.066,100.078,108.299,97.201,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Transport Services,103.387,101.235,105.616,95.811,97.534,93.869,94.125,94.435,96.963,96.603,98.486,96.314,99.218,104.51,106.075,99.649,97.457,96.653,98.607,97.892,100.433,98.506,99.349,100.317,102.961,102.103,108.159,102.323,100.252,100.572,101.109,102.244,103.619,101.789,103.856,100.644,100.907,109.988,110.711,107.399,106.934,104.208,104.307,104.825,103.166,99.315,102.91,113.985,107.274,107.792,110.733,100.635,94.324,92.395,92.029,91.54,91.665,91.685,91.009,91.128,90.934,90.446,90.445,90.128,89.777,90.155,89.895,89.347,89.629,89.608,88.998,89.761,90.08,96.574,96.539,90.982,91.868,90.539,93.419,92.114,93.344,92.419,93.738,91.448,97.102,95.453,97.55,92.297,91.226,91.14,91.887,90.941,93.457,91.301,92.387,91.92,95.802,91.149,95.071,91.009,90.21,89.617,90.31,90.215,91.277,89.16,91.889,90.574,91.675,94.081,95.7,90.025,90.241,90.016,90.279,90.566,90.351,90.347,90.577,90.525,95.909,90.568,98.447,92.876,91.032,91.534,92.123,92.245,91.092,91.084,92.249,93.129,99.55,95.973,104.119,96.801,96.469,94.816,95.358,95.356,95.828,94.875,96.527,94.852,98.772,93.71,100.612,99.109,94.09,93.817,95.072,93.83,95.356,94.243,94.608,94.768,97.603,94.209,99.417,94.58,93.228,92.435,94.177,93.32,94.092,92.868,92.784,92.85,92.022,94.709,99.109,94.631,92.291,91.137,92.606,92.056,94.177,94.28,94.001,92.035,93.88,91.185,96.979,94.744,89.219,89.688,88.26,88.174,88.883,86.841,85.622,85.733,85.695,91.81,90.546,83.078,81.972,81.654,80.739,83.456,83.357,83.206,84.477,90.173,93.389,94.999,97.341,98.364,99.654,100.858,102.081,100.496,96.527,94.862,93.81,92.69,92.582,92.562,92.313,90.4,88.633,87.705,86.983,86.45,86.384,86.091,84.956,84.096,84.579,84.876,85.195,84.578,84.955,84.574,84.841,85.311,85.133,85.064,83.975,83.872,84.508,84.547,84.466,84.197,84.179,84.682,84.999,85.419,85.942,85.956,85.938,86.292,86.316,85.99,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Airfares,103.434,101.269,105.747,95.801,97.516,93.791,94.054,94.371,96.945,96.531,98.486,96.28,99.281,104.65,106.286,99.741,97.441,96.587,98.555,97.878,100.473,98.369,99.262,100.344,103.04,102.026,108.419,102.412,100.126,100.522,101.213,102.288,103.701,101.807,103.94,100.714,100.9,110.336,110.96,107.626,107.155,104.433,104.601,104.939,103.161,99.047,100.816,110.034,108.502,109.037,111.93,101.471,94.949,92.968,92.58,92.074,92.248,92.258,91.525,91.682,91.48,90.962,90.989,90.662,90.301,90.691,90.393,89.828,90.115,90.097,89.676,90.508,90.924,97.544,97.525,91.893,92.73,91.358,94.343,93.038,94.334,93.302,94.619,92.253,98.101,96.421,98.635,93.156,92.039,91.949,92.695,91.72,94.392,92.129,93.222,92.798,96.857,91.979,96.101,91.884,90.977,90.328,91.051,90.919,92.075,89.867,92.711,91.377,92.498,95.003,96.802,90.882,91.077,90.823,91.098,91.423,91.181,91.2,91.409,91.348,96.919,91.353,99.661,93.848,91.838,92.327,92.942,93.068,91.861,91.904,93.213,94.059,100.668,96.935,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Seafares,100.188,100.123,99.76,99.549,99.495,99.404,99.477,99.404,99.76,99.603,99.486,99.513,99.486,99.44,99.396,99.69,99.477,99.477,99.602,99.683,100.642,100.447,100.356,100.429,100.447,100.356,100.799,100.629,100.342,100.342,97.616,97.846,97.903,97.616,98.516,97.846,97.846,97.846,98.948,97.846,94.805,94.805,94.805,94.805,103.894,110.05,185.009,270.577,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,66.909,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.98,63.623,63.623,64.96,64.96,64.96,64.96,64.96,64.96,64.96,63.585,63.585,63.585,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,60.979,60.979,60.979,60.979,60.979,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Travel Insurance,100.47,97.898,94.629,93.331,97.898,98.453,97.987,97.708,96.455,102.944,97.49,97.49,90.865,91.552,85.518,87.719,97.436,102.403,104.374,97.932,95.083,114.206,109.56,96.751,95.24,113.778,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
